round,player1_stack,opponent_stack,winner,actions
1,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
2,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
3,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
4,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
5,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
6,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
7,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
8,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
9,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
10,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
11,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
12,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
13,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
14,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
15,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
16,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
17,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
18,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
19,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
20,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
21,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
22,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
23,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
24,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
25,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
26,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
27,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
28,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
29,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
30,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
31,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
32,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
33,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
34,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
35,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
36,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
37,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
38,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
39,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
40,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
41,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
42,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
43,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
