round,player1_stack,opponent_stack,winner,actions
1,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
2,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
3,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
4,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
5,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
6,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
7,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
8,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
9,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
10,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
11,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
12,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
13,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
14,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
15,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
16,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
17,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
18,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
19,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
20,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
21,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
22,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
23,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
24,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
25,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
26,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
27,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
28,1000,1000,Player1,0 call:20;0 call:20;0 call:0;0 call:20
29,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
30,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
31,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
32,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
33,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
34,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
35,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
36,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
37,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
