round,player1_stack,opponent_stack,winner,actions
1,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
2,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
3,1020,980,Player1,0 call:20
4,1010,990,Player1,no_actions
5,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
6,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
7,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
8,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
9,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
10,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
11,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
12,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
13,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
14,1020,980,Player1,0 call:20;0 call:0;0 call:0
15,1020,980,Player1,0 call:20;0 call:0
16,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
17,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
18,1030,970,Player1,0 call:30;0 call:0
19,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
20,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
21,1010,990,Player1,no_actions
22,1020,980,Player1,0 call:20
23,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
24,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
25,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
26,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
27,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
28,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
29,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
30,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
31,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
32,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
33,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
34,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
35,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
36,1010,990,Player1,no_actions
37,1020,980,Player1,0 call:20;0 call:0
38,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
39,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
40,1020,980,Player1,0 call:20;0 call:0
41,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
42,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
43,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
44,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
45,1020,980,Player1,0 call:20;0 call:0;0 call:0
46,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
47,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
48,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
49,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
50,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
51,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
52,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
53,1020,980,Player1,0 call:20;0 call:0;0 call:0
54,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
55,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
56,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
57,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
58,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
59,1020,980,Player1,0 call:20
60,1020,980,Player1,0 call:20;0 call:0;0 call:0
61,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
62,1020,980,Player1,0 call:20;0 call:0
63,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
64,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
65,1010,990,Player1,no_actions
66,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
67,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
68,1020,980,Player1,0 call:20
69,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
70,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
71,1020,980,Player1,0 call:20
72,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
73,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
74,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
75,1010,990,Player1,no_actions
76,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
77,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
78,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
79,1020,980,Player1,0 call:20;0 call:0
80,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
81,1020,980,Player1,0 call:20
82,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
83,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
84,1020,980,Player1,0 call:20;0 call:0;0 call:0
85,1020,980,Player1,0 call:20;0 call:0
86,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
87,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
88,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
89,1020,980,Player1,0 call:20
90,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
91,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
92,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
93,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
94,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
95,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
96,1020,980,Player1,0 call:20;0 call:0;0 call:0
97,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
98,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
99,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
100,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
101,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
102,1010,990,Player1,no_actions
103,1020,980,Player1,0 call:20;0 call:0;0 call:0
104,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
105,1020,980,Player1,0 call:20;0 call:0;0 call:0
106,1020,980,Player1,0 call:20
107,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
108,1010,990,Player1,no_actions
109,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
110,1020,980,Player1,0 call:20
111,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
112,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
113,1010,990,Player1,no_actions
114,1020,980,Player1,0 call:20;0 call:0
115,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
116,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
117,1020,980,Player1,0 call:20
118,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
119,1020,980,Player1,0 call:20;0 call:0
120,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
121,1020,980,Player1,0 call:20
122,1020,980,Player1,0 call:20;0 call:0
123,1020,980,Player1,0 call:20;0 call:0;0 call:0
124,1020,980,Player1,0 call:20
125,1020,980,Player1,0 call:20;0 call:0
126,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
127,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
128,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
129,1020,980,Player1,0 call:20;0 call:0
130,1020,980,Player1,0 call:20;0 call:0
131,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
132,1010,990,Player1,no_actions
133,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
134,1010,990,Player1,no_actions
135,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
136,1020,980,Player1,0 call:20;0 call:0
137,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
138,1020,980,Player1,0 call:20
139,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
140,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
141,1010,990,Player1,no_actions
142,1020,980,Player1,0 call:20;0 call:0
143,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
144,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
145,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
146,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
147,1020,980,Player1,0 call:20
148,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
149,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
150,1020,980,Player1,0 call:20
151,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
152,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
153,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
154,1020,980,Player1,0 call:20;0 call:0;0 call:0
155,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
156,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
157,1020,980,Player1,0 call:20
158,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
159,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
160,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
161,1020,980,Player1,0 call:20;0 call:0
162,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
163,1020,980,Player1,0 call:20
164,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
165,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
166,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
167,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
168,1020,980,Player1,0 call:20;0 call:0;0 call:0
169,1010,990,Player1,no_actions
170,1000,1000,Player1,0 call:20;0 call:0;0 call:0;0 call:0
171,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
172,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
173,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
174,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
175,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
176,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
177,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
178,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
179,1020,980,Player1,0 call:20;0 call:0;0 call:0
180,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
181,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
182,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
183,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
184,1010,990,Player1,no_actions
185,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
186,1010,990,Player1,no_actions
187,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
188,1010,990,Player1,no_actions
189,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
190,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
191,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
192,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
193,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
194,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
195,1020,980,Player1,0 call:20;0 call:0
196,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
197,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
198,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
199,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
200,1010,990,Player1,no_actions
201,1040,960,Player1,0 call:20;0 call:20;0 call:0
202,1010,990,Player1,no_actions
203,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
204,1020,980,Player1,0 call:20;0 call:0;0 call:0
205,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
