round,player1_stack,opponent_stack,winner,actions
1,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
2,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
3,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
4,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
5,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
6,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
7,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
8,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
9,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
10,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
11,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
12,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
13,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
14,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
15,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
16,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
17,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
18,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
19,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
20,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
21,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
22,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
23,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
24,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
25,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
26,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
27,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
28,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
29,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
30,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
31,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
32,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
33,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
34,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
35,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
36,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
37,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
38,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
39,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
40,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
41,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
42,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
43,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
44,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
45,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
46,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
47,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
48,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
49,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
50,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
51,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
52,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
53,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
54,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
55,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
56,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
57,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
58,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
59,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
60,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
61,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
62,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
63,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
64,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
65,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
66,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
67,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
68,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
69,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
70,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
71,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
72,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
73,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
74,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
75,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
76,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
77,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
78,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
79,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
80,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
81,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
82,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
83,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
84,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
85,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
86,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
87,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
88,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
89,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
90,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
91,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
92,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
93,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
94,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
95,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
96,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
97,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
98,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
99,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
100,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
101,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
102,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
103,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
104,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
105,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
106,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
107,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
108,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
109,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
110,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
111,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
112,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
113,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
114,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
115,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
116,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
117,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
118,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
119,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
120,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
121,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
122,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
123,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
124,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
125,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
126,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
127,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
128,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
129,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
130,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
131,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
132,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
133,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
134,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
135,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
136,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
137,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
138,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
139,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
140,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
141,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
142,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
143,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
144,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
145,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
146,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
147,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
148,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
149,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
150,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
151,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
152,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
153,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
154,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
155,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
156,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
157,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
158,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
159,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
160,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
161,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
162,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
163,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
164,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
165,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
166,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
167,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
168,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
169,1000,1000,Player1,0 call:30;0 call:20;0 call:20;0 call:0
170,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
171,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
172,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
173,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
174,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
175,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
176,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
177,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
178,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
179,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
180,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
181,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
182,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
183,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
184,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
185,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
186,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
187,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
188,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
189,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
190,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
191,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
192,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
193,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
194,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
195,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
196,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
197,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
198,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
199,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
200,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
201,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
202,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
203,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
204,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
205,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
206,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
207,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
208,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
209,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
210,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
211,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
212,1000,1000,Player1,0 call:30;0 call:0;0 call:0;0 call:20
213,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
214,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
215,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
216,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
217,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
218,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
219,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
220,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
221,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
222,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
223,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
224,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
225,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
226,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
227,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
228,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
229,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
230,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
231,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
232,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
233,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
234,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
235,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
236,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
237,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
238,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
239,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
240,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
241,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
242,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
243,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
244,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
245,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
246,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
247,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
248,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
249,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
250,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
251,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
252,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
253,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
254,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
255,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
256,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
257,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
258,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
259,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
260,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
261,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
262,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
263,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
264,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
265,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
266,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
267,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
268,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
